iso_country,sum_di,domestic,international,domestic_ratio,sum_dn,day,night,day_ratio,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,min_month_flights_origin,max_month_flights_origin,min_month_flights_destination,max_month_flights_destination,long,medium,short,long_ratio,short_ratio,latitude_deg,longitude_deg,elevation_m,STATION,LATITUDE,LONGITUDE,ELEVATION,airport_station_distance,AVG_TEMP,AVG_VISIB,AVG_WDSP,AVG_MAX,AVG_MIN,AVG_PRCP
AE,156031,27602,128429,14.689121003701278,262567,139797,122770,17.655885976057437,45401,36741,26785,6373,8960,12177,15765,17780,18958,22998,23504,27125,2740,21992,3233,25314,66631,46366,43034,3.197575016981845,16.138354455348438,568.9777498979261,1248.8283674394368,610.5144000000001,947776199977,565.3869050000001,1245.8247740000002,691.8300000000003,738.8160648385497,711.0692950264958,198.34067976391324,187.15889916043847,839.5956856329801,602.0993558302471,3.590019795163312
AL,36,0,36,0.0,41,32,9,1.554761904761905,0,0,0,0,0,0,41,0,0,0,0,0,0,9,0,32,0,2,34,0.0,1.888888888888888,83.30989855440001,39.3193001282,45.4152,27215199998,83.514742,39.2538943,81.4,23.41047612890137,32.6786581663631,24.049704918032802,9.534153005464471,46.2317850637523,20.435033394049732,2.69198360655738
AM,3558,82,3476,1.104802259887005,4379,2270,2109,1.652370030581039,1586,1391,962,164,157,119,0,0,0,0,0,0,0,772,0,818,13,3427,118,0.0036723163841809996,1.114971751412429,161.31390380858792,177.2848014831934,4633.5696,143969399996,161.3278833,176.99203980000001,4344.04,25.514714385489146,48.36776951217648,67.5818160035613,15.051657712265218,74.47964723229921,22.90188680207966,1.19173669467787
AR,12641,3308,9333,17.81803159502923,29178,18882,10296,23.74604458626831,7938,10768,4649,610,909,1102,943,1162,1093,0,2,2,0,5192,0,5649,4727,4466,3448,0.912257324088983,17.944580797983384,-1597.5611967731,-2878.7389507257,9555.784800000003,4112710699953,-1596.9157235999999,-2876.205102799999,8700.109999999999,1200.6383140304392,816.9488087870941,559.2806328148589,350.73435656912477,1129.0984955407023,519.5178438585654,86.31172871450136
AT,124898,29680,95218,36.87322349582433,147062,114501,32561,50.51396320570437,22405,23572,13584,2174,5438,8431,14084,16242,15503,11932,7010,6687,928,12764,1067,14146,3090,16064,105744,0.056685256926975,54.01338365997743,2621.2020932540413,797.7730764169874,26070.7632,614471799945,2620.845301699999,797.1000114999999,32619.389999999996,491.37656225111044,515.1238240346513,503.5279160301812,263.08089527114083,793.5289902981283,264.48384697003564,145.0008766503638
AU,810452,755488,54964,437.75746481492405,1091195,876041,215154,394.96576477771237,145045,140651,132437,54102,62309,71267,78340,67859,71526,78013,88608,101038,19428,81182,21256,89718,66113,91175,653164,10.154542475207828,423.78841765928104,-16546.652246230948,73005.78726450777,55368.13919999994,47905418399495,-16569.64559240002,73006.14939970007,134527.26,15551.986754646812,8190.637099697484,1380.8724084792798,3918.6564974708904,11053.472327760719,5068.6608290501545,1006.8782850983591
AW,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.5014,-70.015198,18.288,78982000411,12.5,-70.017,18.3,0.250005227345132,28.4160595021251,17.6440163934426,14.7508196721312,31.829386763812998,26.0680024286582,2.304043715847
AZ,119,2,117,0.25900900900900903,162,44,118,0.701904761904762,0,0,33,1,18,3,17,14,25,49,2,0,0,21,0,33,22,95,2,0.68018018018018,0.25900900900900903,121.4656982421875,149.804298400879,11.2776,113592299997,121.4025,150.14000099999998,9.120000000000001,58.24782585892456,47.2299635701275,28.7780901639345,31.2442622950821,59.815573770492,33.695355191256596,21.92681095890411
BA,265,0,265,0.0,289,213,76,3.819694107062529,36,40,29,5,6,20,25,46,17,26,19,20,0,15,5,51,0,42,223,0.0,4.656284606866003,353.7772771454602,142.7471568260393,2538.0696000000003,112783799992,353.9655935,142.49151270000002,2538.05,85.52965444214264,102.29767928430951,93.31321328700864,28.531089178409648,151.345305806842,51.580198538317184,9.93616011964139
BB,4856,34,4822,0.007001647446458,9275,7472,1803,0.805606469002695,1466,2347,2082,68,88,118,84,123,453,688,702,1056,10,981,46,1366,910,2101,1845,0.18739703459637602,0.37994233937397,13.0746,-59.4925,51.5112,78954000408,13.067,-59.483000000000004,52.1,1.33153065027536,27.5643594414086,12.2338005464481,13.683333333333302,30.560261080752696,25.0203400121433,1.9223181818181798
